Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,156.250000,156.500000,153.610001,153.929993,153.929993,18159900
2020-03-12,151.529999,151.550003,146.850006,147.789993,147.789993,32893400
2020-03-13,149.419998,149.600006,141.580002,143.279999,143.279999,35177200
2020-03-16,137.559998,142.960007,136.119995,141.639999,141.639999,24496000
2020-03-17,140.179993,146.199997,139.929993,143.559998,143.559998,24490300
2020-03-18,141.750000,142.880005,138.500000,140.699997,140.699997,21953400
2020-03-19,139.080002,140.500000,137.850006,138.039993,138.039993,20828900
2020-03-20,140.710007,141.169998,139.139999,140.110001,140.110001,20056000
2020-03-23,142.679993,146.929993,142.279999,146.300003,146.300003,28275200
2020-03-24,153.500000,155.660004,152.050003,153.399994,153.399994,20743500
2020-03-25,152.580002,152.880005,151.009995,151.300003,151.300003,16457200
2020-03-26,153.309998,154.809998,152.080002,153.240005,153.240005,12778200
2020-03-27,153.000000,153.550003,152.000000,152.250000,152.250000,9824600
2020-03-30,152.410004,153.080002,151.570007,152.919998,152.919998,12080900
2020-03-31,151.360001,151.800003,147.970001,148.050003,148.050003,13319500
2020-04-01,148.199997,150.080002,147.850006,149.449997,149.449997,11827400
2020-04-02,151.199997,152.500000,150.699997,151.899994,151.899994,9188300
2020-04-03,152.229996,153.089996,151.660004,152.649994,152.649994,8469100
2020-04-06,154.160004,157.220001,153.960007,156.880005,156.880005,14739300
2020-04-07,155.330002,156.139999,154.380005,156.039993,156.039993,9195400
2020-04-08,155.910004,155.940002,154.589996,154.649994,154.649994,7600800
2020-04-09,158.080002,159.080002,157.210007,158.690002,158.690002,18123000
2020-04-13,159.169998,162.380005,158.630005,161.410004,161.410004,20549200
2020-04-14,162.729996,164.419998,161.779999,162.679993,162.679993,17095100
2020-04-15,161.800003,162.539993,160.809998,161.850006,161.850006,12141900
2020-04-16,161.880005,163.149994,160.649994,161.710007,161.710007,9233200
2020-04-17,159.720001,160.070007,158.119995,158.570007,158.570007,14652700
2020-04-20,158.619995,160.220001,158.460007,159.699997,159.699997,10688700
2020-04-21,157.600006,159.210007,157.039993,158.610001,158.610001,12478100
2020-04-22,160.500000,161.740005,160.419998,161.729996,161.729996,12937100
2020-04-23,162.389999,163.600006,161.839996,163.339996,163.339996,14928500
2020-04-24,163.130005,163.309998,160.889999,162.639999,162.639999,11203600
2020-04-27,161.880005,162.000000,160.410004,161.559998,161.559998,9033500
2020-04-28,160.889999,160.979996,159.160004,160.839996,160.839996,10383000
2020-04-29,160.100006,161.850006,159.759995,161.729996,161.729996,12232300
2020-04-30,160.220001,160.820007,158.130005,158.800003,158.800003,13633500
2020-05-01,158.000000,160.449997,157.800003,159.779999,159.779999,10914300
2020-05-04,160.330002,160.949997,159.910004,160.339996,160.339996,7986200
2020-05-05,160.160004,161.100006,159.330002,161.020004,161.020004,10563100
2020-05-06,158.990005,159.809998,158.100006,158.949997,158.949997,13352000
2020-05-07,159.500000,161.960007,159.360001,161.389999,161.389999,13691700
2020-05-08,161.080002,162.000000,160.000000,160.419998,160.419998,12244600
2020-05-11,160.339996,160.710007,158.889999,159.419998,159.419998,11209800
2020-05-12,160.300003,160.949997,159.720001,160.039993,160.039993,10406000
2020-05-13,160.940002,161.619995,160.539993,161.580002,161.580002,10950400
2020-05-14,161.529999,163.339996,161.509995,163.009995,163.009995,17084400
2020-05-15,164.020004,164.800003,163.080002,163.929993,163.929993,13918800
2020-05-18,164.330002,164.500000,162.410004,162.690002,162.690002,14137900
2020-05-19,163.600006,164.429993,163.039993,164.259995,164.259995,8535800
2020-05-20,164.539993,164.960007,163.889999,164.649994,164.649994,10666100
2020-05-21,163.460007,163.580002,161.369995,162.250000,162.250000,11791000
2020-05-22,162.880005,163.470001,162.740005,163.210007,163.210007,8540900
2020-05-26,162.580002,162.580002,160.690002,160.889999,160.889999,13972000
2020-05-27,159.419998,161.339996,159.199997,161.179993,161.179993,13063500
2020-05-28,162.119995,162.460007,160.899994,161.720001,161.720001,9758500
2020-05-29,162.580002,163.399994,162.320007,162.910004,162.910004,12584000
2020-06-01,162.919998,163.740005,162.389999,163.660004,163.660004,8140200
2020-06-02,163.889999,164.080002,161.860001,162.600006,162.600006,10388900
2020-06-03,160.339996,160.899994,158.820007,159.600006,159.600006,17000500
2020-06-04,161.139999,161.869995,159.839996,161.279999,161.279999,10094000
2020-06-05,158.720001,158.720001,157.039993,158.009995,158.009995,16021200
2020-06-08,158.899994,159.860001,158.470001,159.720001,159.720001,9244400
2020-06-09,161.100006,161.779999,160.869995,161.259995,161.259995,9045600
2020-06-10,162.100006,163.630005,160.520004,163.570007,163.570007,13009300
2020-06-11,163.350006,164.059998,161.970001,162.389999,162.389999,11673900
2020-06-12,163.410004,163.880005,162.559998,162.619995,162.619995,6892000
2020-06-15,160.520004,162.559998,160.160004,162.330002,162.330002,8532500
2020-06-16,161.850006,162.690002,161.360001,162.250000,162.250000,7964000
2020-06-17,162.000000,162.619995,161.770004,162.559998,162.559998,4752800
2020-06-18,162.199997,162.320007,161.440002,162.240005,162.240005,5397600
2020-06-19,162.869995,164.089996,162.779999,164.029999,164.029999,12187400
2020-06-22,165.059998,165.729996,164.410004,165.089996,165.089996,12385600
2020-06-23,165.630005,166.520004,165.520004,166.479996,166.479996,12137300
2020-06-24,166.009995,166.990005,165.449997,165.899994,165.899994,10901400
2020-06-25,165.889999,165.910004,165.160004,165.800003,165.800003,7093800
2020-06-26,164.869995,166.559998,164.220001,166.539993,166.539993,9753500
2020-06-29,166.559998,166.800003,166.179993,166.630005,166.630005,6721600
2020-06-30,166.309998,167.990005,166.190002,167.369995,167.369995,12762300
2020-07-01,167.050003,167.059998,165.339996,166.619995,166.619995,13214800
2020-07-02,166.199997,167.240005,166.020004,166.979996,166.979996,8753500
2020-07-06,167.750000,168.000000,167.190002,167.979996,167.979996,7265700
2020-07-07,167.410004,169.039993,167.380005,169.039993,169.039993,11633100
2020-07-08,170.320007,170.860001,169.779999,170.089996,170.089996,11662700
2020-07-09,170.479996,170.639999,168.779999,169.630005,169.630005,13327400
2020-07-10,169.949997,170.149994,168.570007,169.190002,169.190002,8218000
2020-07-13,170.289993,170.419998,169.160004,169.399994,169.399994,11095900
2020-07-14,168.970001,170.199997,168.809998,170.190002,170.190002,9812700
2020-07-15,169.619995,170.429993,169.389999,170.339996,170.339996,7533800
2020-07-16,169.800003,170.000000,168.649994,168.729996,168.729996,10242400
2020-07-17,169.940002,170.270004,169.610001,170.119995,170.119995,10296000
2020-07-20,170.759995,171.070007,170.270004,170.940002,170.940002,10095500
2020-07-21,172.529999,173.250000,172.309998,173.000000,173.000000,12864600
2020-07-22,174.050003,175.770004,173.759995,175.630005,175.630005,18712500
2020-07-23,176.169998,178.410004,175.649994,177.179993,177.179993,23006800
2020-07-24,179.139999,179.160004,178.199997,178.699997,178.699997,15601300
2020-07-27,181.850006,182.830002,181.529999,182.229996,182.229996,21115600
2020-07-28,182.020004,184.259995,181.419998,183.750000,183.750000,21164600
2020-07-29,184.009995,186.139999,182.389999,185.130005,185.130005,25640100
2020-07-30,183.440002,184.330002,182.130005,183.759995,183.759995,18061200
2020-07-31,184.509995,185.750000,184.169998,185.429993,185.429993,15885000
2020-08-03,185.050003,185.820007,184.199997,185.639999,185.639999,12897000
2020-08-04,185.610001,189.600006,185.210007,189.589996,189.589996,20773200
2020-08-05,191.649994,193.130005,190.619995,191.350006,191.350006,27193700
2020-08-06,193.740005,194.449997,192.520004,193.889999,193.889999,20640100
2020-08-07,192.710007,192.960007,189.330002,190.809998,190.809998,24557700
2020-08-10,191.199997,192.610001,189.660004,190.149994,190.149994,19047200
2020-08-11,183.570007,183.979996,179.429993,179.940002,179.940002,45355000
2020-08-12,182.610001,183.100006,179.039993,179.100006,179.100006,28779400
2020-08-13,181.559998,184.699997,181.360001,183.330002,183.330002,18596800
2020-08-14,183.440002,183.720001,181.490005,182.539993,182.539993,11792000
2020-08-17,184.690002,187.009995,184.660004,186.500000,186.500000,15709800
2020-08-18,189.179993,189.399994,185.630005,188.179993,188.179993,16291600
2020-08-19,187.210007,187.460007,181.710007,182.240005,182.240005,24646900
2020-08-20,181.190002,183.710007,180.929993,183.500000,183.500000,16692200
2020-08-21,182.139999,182.809998,180.470001,182.029999,182.029999,12713700
2020-08-24,182.910004,182.929993,180.690002,181.000000,181.000000,11605800
2020-08-25,181.059998,181.250000,179.729996,181.220001,181.220001,10056100
2020-08-26,180.259995,183.580002,180.199997,183.360001,183.360001,12715800
2020-08-27,185.000000,185.169998,179.369995,181.240005,181.240005,16299200
2020-08-28,183.979996,185.399994,183.399994,184.389999,184.389999,13200800
2020-08-31,184.789993,185.529999,184.279999,184.830002,184.830002,10251200
2020-09-01,186.990005,186.990005,184.330002,185.050003,185.050003,10689100
2020-09-02,183.750000,183.860001,181.500000,182.619995,182.619995,11536900
2020-09-03,182.300003,182.820007,180.490005,181.139999,181.139999,12148100
2020-09-04,180.949997,182.100006,180.050003,181.639999,181.639999,11567900
2020-09-08,179.500000,182.270004,179.020004,181.289993,181.289993,13229200
2020-09-09,182.500000,183.220001,182.190002,183.050003,183.050003,8424100
2020-09-10,184.229996,184.679993,182.279999,182.460007,182.460007,9143600
2020-09-11,183.139999,183.550003,182.009995,182.449997,182.449997,7662300
2020-09-14,183.570007,184.300003,183.389999,183.889999,183.889999,9709500
2020-09-15,184.460007,184.669998,182.919998,183.449997,183.449997,7993700
2020-09-16,184.979996,185.009995,183.330002,183.970001,183.970001,12702400
2020-09-17,181.919998,183.089996,181.479996,182.960007,182.960007,8836200
2020-09-18,183.070007,184.089996,182.639999,183.199997,183.199997,9959700
2020-09-21,179.839996,180.289993,176.750000,179.520004,179.520004,17436100
2020-09-22,179.630005,180.020004,178.110001,178.649994,178.649994,7977900
2020-09-23,176.979996,177.259995,174.100006,174.789993,174.789993,18134000
2020-09-24,174.360001,176.240005,173.770004,175.440002,175.440002,11759200
2020-09-25,174.410004,175.300003,173.889999,174.940002,174.940002,6779200
2020-09-28,175.830002,176.809998,175.089996,176.699997,176.699997,7109700
2020-09-29,177.190002,178.330002,176.949997,178.190002,178.190002,8718500
2020-09-30,177.710007,178.610001,176.660004,177.119995,177.119995,8351100
2020-10-01,178.710007,179.500000,178.039993,178.699997,178.699997,10402800
2020-10-02,178.690002,179.289993,178.160004,178.539993,178.539993,7488500
2020-10-05,179.020004,180.139999,178.899994,179.410004,179.410004,6969600
2020-10-06,180.160004,180.369995,177.050003,177.300003,177.300003,8632800
2020-10-07,177.089996,177.419998,176.429993,177.220001,177.220001,6410900
2020-10-08,178.179993,178.449997,176.669998,177.850006,177.850006,6530800
2020-10-09,180.130005,181.169998,179.929993,181.080002,181.080002,15979800
2020-10-12,180.570007,180.830002,180.190002,180.559998,180.559998,4843000
2020-10-13,178.559998,178.600006,177.100006,177.720001,177.720001,8384300
2020-10-14,179.089996,179.589996,178.270004,178.270004,178.270004,9100900
2020-10-15,177.710007,179.149994,177.589996,178.919998,178.919998,6815400
2020-10-16,179.220001,179.320007,178.130005,178.300003,178.300003,7260700
2020-10-19,179.410004,179.479996,178.369995,178.389999,178.389999,6084400
2020-10-20,178.539993,179.669998,178.080002,179.250000,179.250000,7121400
2020-10-21,180.470001,181.309998,180.229996,180.600006,180.600006,7548100
2020-10-22,178.880005,179.029999,177.720001,178.830002,178.830002,8377000
2020-10-23,179.089996,179.199997,177.759995,178.639999,178.639999,5919300
2020-10-26,178.750000,179.139999,178.220001,178.550003,178.550003,5105100
2020-10-27,178.710007,179.429993,178.509995,179.020004,179.020004,5826900
2020-10-28,176.449997,176.850006,175.440002,176.130005,176.130005,11734100
2020-10-29,175.020004,176.139999,174.830002,175.399994,175.399994,8474500
2020-10-30,177.179993,177.360001,175.949997,176.199997,176.199997,7303000
2020-11-02,177.449997,177.929993,177.130005,177.910004,177.910004,6498400
2020-11-03,178.949997,179.389999,178.300003,178.919998,178.919998,7577200
2020-11-04,178.929993,179.190002,177.660004,178.820007,178.820007,11117300
2020-11-05,181.000000,183.289993,180.970001,182.929993,182.929993,16102800
2020-11-06,183.399994,183.529999,182.190002,183.190002,183.190002,10378300
2020-11-09,176.419998,176.449997,173.639999,175.080002,175.080002,29800700
2020-11-10,176.750000,176.910004,175.660004,175.660004,175.660004,11728500
2020-11-11,174.699997,175.279999,174.440002,174.899994,174.899994,9008500
2020-11-12,176.039993,176.770004,175.839996,175.960007,175.960007,7167900
2020-11-13,177.649994,177.800003,176.839996,177.160004,177.160004,6469800
2020-11-16,177.229996,177.910004,176.869995,177.149994,177.149994,8358500
2020-11-17,177.250000,177.440002,176.089996,176.500000,176.500000,8229100
2020-11-18,176.259995,176.860001,175.350006,175.490005,175.490005,7384700
2020-11-19,174.300003,175.220001,174.169998,175.160004,175.160004,6965100
2020-11-20,176.119995,176.380005,175.580002,175.690002,175.690002,6379400
2020-11-23,175.100006,175.240005,171.779999,172.229996,172.229996,15510600
2020-11-24,169.300003,169.690002,168.860001,169.589996,169.589996,19504000
2020-11-25,169.979996,170.520004,169.240005,169.509995,169.509995,10286600
2020-11-27,166.899994,167.830002,166.779999,167.789993,167.789993,10569100
2020-11-30,166.679993,167.429993,166.029999,166.669998,166.669998,13210000
2020-12-01,169.759995,170.479996,169.300003,170.179993,170.179993,13555200
2020-12-02,170.570007,171.759995,170.149994,171.460007,171.460007,9199700
2020-12-03,172.639999,172.850006,171.080002,172.809998,172.809998,10457300
2020-12-04,172.779999,173.320007,171.589996,172.320007,172.320007,10098600
2020-12-07,172.559998,175.289993,172.509995,174.889999,174.889999,10555100
2020-12-08,175.509995,175.929993,174.720001,175.500000,175.500000,6348400
2020-12-09,173.919998,174.039993,171.240005,172.500000,172.500000,10743200
2020-12-10,172.899994,173.580002,171.699997,172.169998,172.169998,6564000
2020-12-11,172.250000,173.320007,172.110001,172.490005,172.490005,6084800
2020-12-14,171.910004,172.520004,170.910004,171.539993,171.539993,7644400
2020-12-15,173.429993,173.979996,173.059998,173.940002,173.940002,6848600
2020-12-16,174.130005,175.020004,173.020004,174.899994,174.899994,8174700
2020-12-17,177.149994,177.869995,176.580002,176.740005,176.740005,9475800
2020-12-18,176.649994,176.979996,176.100006,176.440002,176.440002,6789900
2020-12-21,176.289993,176.940002,175.759995,175.880005,175.880005,8168900
2020-12-22,176.199997,176.339996,174.339996,174.490005,174.490005,9442400
2020-12-23,175.100006,176.210007,175.059998,175.649994,175.649994,6542800
2020-12-24,175.550003,176.369995,175.509995,176.350006,176.350006,3695400
